Age,DHB,Popn
75-79,Tairawhiti,1420
75-79,Taranaki,4240
75-79,Hawke's Bay,6420
75-79,Whanganui,2620
75-79,MidCentral,6620
75-79,Hutt Valley,4160
75-79,Capital and Coast,8230
75-79,Wairarapa,2140
75-79,Nelson Marlborough,6930
75-79,West Coast,1350
75-79,Canterbury,17090
75-79,South Canterbury,2560
75-79,Southern,10950
80-84,New Zealand,103760
80-84,Northland,4850
80-84,Waitemata,11810
80-84,Auckland,7880
80-84,Counties Manukau,8450
80-84,Waikato,9410
80-84,Lakes,2430
80-84,Bay of Plenty,7350
80-84,Tairawhiti,1010
80-84,Taranaki,2870
80-84,Hawke's Bay,4320
80-84,Whanganui,1830
80-84,MidCentral,4580
80-84,Hutt Valley,3050
80-84,Capital and Coast,5590
80-84,Wairarapa,1440
80-84,Nelson Marlborough,4440
80-84,West Coast,840
80-84,Canterbury,12070
80-84,South Canterbury,1800
80-84,Southern,7740
85-89,New Zealand,56420
85-89,Northland,2360
85-89,Waitemata,6550
85-89,Auckland,4270
85-89,Counties Manukau,4310
85-89,Waikato,5060
85-89,Lakes,1290
85-89,Bay of Plenty,3900
85-89,Tairawhiti,530
85-89,Taranaki,1750
85-89,Hawke's Bay,2380
85-89,Whanganui,980
85-89,MidCentral,2480
85-89,Hutt Valley,1660
85-89,Capital and Coast,3170
85-89,Wairarapa,730
85-89,Nelson Marlborough,2380
85-89,West Coast,420
85-89,Canterbury,6790
85-89,South Canterbury,1100
85-89,Southern,4320
90-*,New Zealand,34580
90-*,Northland,1360
90-*,Waitemata,4150
90-*,Auckland,3050
90-*,Counties Manukau,2530
90-*,Waikato,3020
90-*,Lakes,700
90-*,Bay of Plenty,2360
90-*,Tairawhiti,320
90-*,Taranaki,1050
90-*,Hawke's Bay,1410
90-*,Whanganui,600
90-*,MidCentral,1450
90-*,Hutt Valley,1000
90-*,Capital and Coast,1900
90-*,Wairarapa,440
90-*,Nelson Marlborough,1350
90-*,West Coast,250
90-*,Canterbury,4410
90-*,South Canterbury,560
90-*,Southern,2650
